Skills,x/200,%Skills,Experiences,x,%Exp,Field of action,x/200,%FoA,Responsabilities,x/200,%Res,WoringHours,x/200,%WH,Places,x/200,%PL,,,,,
Detail orientation,99,50%,None,8,4%,Tecnology management,13,7%,Content revision,178,89%,Full time,171,86%,China,2,1%,,,,,
Knowledge of the internet and social media,84,42%,Minimum,147,74%,Artificial Intelligence,18,9%,Documentation & research ,44,22%,Part time,3,2%,Costa Rica,1,1%,,,,,
Communication skills,76,38%,Medium,26,13%,Recruitment,46,23%,Co-working,38,19%,Stage,2,1%,Germany,20,10%,,,,,
"Awareness of the linguistic, cultural and political situation",69,35%,Long,13,7%,Brand Protection,4,2%,User relationship,38,19%,Flexible,1,1%,Greece,13,7%,,,,,
Tech savvy,66,33%,Unknown,6,3%,Online services,18,9%,User revision,36,18%,Unknown,23,12%,Hungary,2,1%,,,,,
Resilience,59,30%,,,,Costumer experience,14,7%,(Delivery/Service) efficiency,25,13%,,,,India,10,5%,,,,,
Collaboration,56,28%,,,,Travel ,6,3%,Active project's management,21,11%,,,,Ireland,43,22%,,,,,
Propositivity,48,24%,,,,Content services,2,1%,Content creation,17,9%,,,,Japan,2,1%,,,,,
Analysis & research,47,24%,,,,Call center,9,5%,Training & coaching,5,3%,,,,Latvia,1,1%,,,,,
Windows skills,35,18%,,,,Education,1,1%,Time flexibility,4,2%,,,,Malta,4,2%,,,,,
Fast work culture,33,17%,,,,Social media,4,2%,Translation,4,2%,,,,Philippines,21,11%,,,,,
Organization,27,14%,,,,Commercial,1,1%,,,,,,,Poland,22,11%,,,,,
Problem-solving,26,13%,,,,Marketing,8,4%,,,,,,,Portugal,9,5%,,,,,
Empathy,26,13%,,,,Data,22,11%,,,,,,,Spain,19,10%,,,,,
Creativity,22,11%,,,,Media production,18,9%,,,,,,,Ukraine,4,2%,,,,,
Confidence to highly sensitive and adult explicit content ,17,9%,,,,Unknown,16,8%,,,,,,,United Kingdom,4,2%,,,,,
Enjoy listening to music,14,7%,,,,,,,,,,,,,United States,22,11%,,,,,
Activity on social media,12,6%,,,,,,,,,,,,,Vietnam,1,1%,,,,,
Multitasking,12,6%,,,,,,,,,,,,,Total,200,100%,,,,,
Critical thinking,11,6%,,,,,,,,,,,,,,,,,,,,
Management,10,5%,,,,,,,,,,,,,,,,,,,,
Costumer service,10,5%,,,,,,,,,,,,,,,,,,,,
Brand awareness,8,4%,,,,,,,,,,,,,,,,,,,,
iOS skills,6,3%,,,,,,,,,,,,,,,,,,,,
Decision making,3,2%,,,,,,,,,,,,,,,,,,,,
Ability on working during night shift,3,2%,,,,,,,,,,,,,,,,,,,,
Interpersonal skills,3,2%,,,,,,,,,,,,,,,,,,,,
Adobe suite,2,1%,,,,,,,,,,,,,,,,,,,,
"Knowledge of how to deal with PTSD, anxiety and depression and methods",1,1%,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
